Company Name,Website,Location,Hourly Rate,Min Project Size,Team Size
Quantasis,https://quantasis.com?utm_source=clutch.co&utm_medium=referral&utm_campaign=it-services-india,"Mumbai, India",$25 - $49 / hr,"$10,000+",50 - 249
Simform,https://www.simform.com/top-it-services-company/?utm_source=clutch.co&utm_medium=sp-referral&utm_campaign=it-outsourcing-india,"Ahmedabad, India",$25 - $49 / hr,"$25,000+","1,000 - 9,999"
Dotsquares,https://clutch.dotsquares.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Jaipur, India",$25 - $49 / hr,"$1,000+","1,000 - 9,999"
Euphoric Thought Technologies Pvt. Ltd.,https://www.euphoricthought.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory?utm_source=clutch.co&utm_medium=referral&utm_campaign=it-services-india,"Bengaluru, India",$25 - $49 / hr,"$10,000+",50 - 249
Radixweb,https://radixweb.com/,"Ahmedabad, India",$25 - $49 / hr,"$25,000+",250 - 999
eSparkBiz,https://www.esparkinfo.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Ahmedabad, India",< $25 / hr,"$5,000+",250 - 999
Salt Technologies,https://www.salttechno.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Pimpri-Chinchwad, India",$25 - $49 / hr,"$10,000+",50 - 249
Navsoft,https://www.thenavsoft.com?utm_source=clutch.co&utm_medium=referral&utm_campaign=it-services-india,"Mumbai, India",$25 - $49 / hr,"$10,000+",250 - 999
TechAhead,https://www.techaheadcorp.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Greater Noida, India",$25 - $49 / hr,"$25,000+",50 - 249
TatvaSoft,https://www.tatvasoft.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=profile,"Ahmedabad, India",< $25 / hr,"$25,000+","1,000 - 9,999"
DianApps,https://dianapps.com?utm_source=clutch.co&utm_medium=referral&utm_campaign=it-services-india,"Jaipur, India",$25 - $49 / hr,"$5,000+",50 - 249
Closeloop Technologies,https://closeloop.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=it-services-india,"Sahibzada Ajit Singh Nagar, India",$25 - $49 / hr,"$25,000+",50 - 249
7EDGE,https://pages.7edge.com/software-development-services/?utm_source=referral&utm_medium=cl-ito-in&utm_campaign=clutch,"Bengaluru, India",< $25 / hr,"$25,000+",50 - 249
Wednesday Solutions,https://wednesday.is/contact-us/clutch?utm_source=clutch&utm_medium=ad&utm_campaign=clutch+dashboard,"Pune, India",$25 - $49 / hr,"$5,000+",50 - 249
fxis.ai,https://fxis.ai/,"Ahmedabad, India",< $25 / hr,"$1,000+",50 - 249
Growexx,https://www.growexx.com/?utm_source=clutch&utm_medium=referral&utm_campaign=clutch_listing,"Bengaluru, India",$25 - $49 / hr,"$10,000+",50 - 249
Matrix Bricks,https://www.matrixbricks.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Mumbai, India",$25 - $49 / hr,"$1,000+",10 - 49
KanhaSoft,https://kanhasoft.com?utm_source=clutch.co&utm_medium=referral&utm_campaign=it-services-india,"Ahmedabad, India",< $25 / hr,"$5,000+",50 - 249
Ahex Technologies,https://ahex.co/clutch-consultation/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Hyderabad, India",< $25 / hr,"$10,000+",50 - 249
Lauren Group Inc.,https://laurengroup.ai/contact-us-USA?utm_source=clutch.co&utm_medium=referral&utm_campaign=it-services-india,"Mumbai, India",$50 - $99 / hr,"$5,000+",250 - 999
Cynoteck Technology Solutions Pvt. Ltd.,https://cynoteck.com/contact-us/?utm_source=clutch.co&utm_medium=referral,"Dehradun, India",$25 - $49 / hr,"$5,000+",50 - 249
Shaligram Infotech,https://shaligraminfotech.com?utm_source=clutch.co&utm_medium=referral&utm_campaign=it-services-india,"Ahmedabad, India",$25 - $49 / hr,"$5,000+",50 - 249
AllianceTek,https://www.alliancetek.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=boosted-placements,"Ahmedabad, India",$25 - $49 / hr,Undisclosed,50 - 249
Vitec GmbH,https://vitec-visual.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Surat, India",$25 - $49 / hr,"$5,000+",10 - 49
ScaleTech Solutions,http://www.scaletech.xyz,"Ahmedabad, India",$50 - $99 / hr,"$10,000+",50 - 249
TechRover Solutions,https://www.techrover.us/contact-us/,"Ahmedabad, India",< $25 / hr,"$10,000+",50 - 249
"Confianz Global, Inc",https://www.confianzit.com/mobile-app-development/?utm_source=clutch.co&utm_medium=referral&utm_campaign=it-services-india,"Kazhakkoottam, India",$50 - $99 / hr,"$25,000+",50 - 249
W3care Technologies Pvt. Ltd.,https://www.w3care.com/request-a-quote/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Jaipur, India",$25 - $49 / hr,"$5,000+",50 - 249
Sourceved Technologies Pvt Ltd,https://www.sourceved.com,"Ahmedabad, India",$50 - $99 / hr,"$25,000+",50 - 249
DataToBiz,https://www.datatobiz.com/?utm_source=clutch.co&utm_medium=visitwebsite&utm_campaign=directory,"Sahibzada Ajit Singh Nagar, India",$25 - $49 / hr,"$25,000+",50 - 249
Analytics Liv Digital LLP,https://www.analyticsliv.com,"Ahmedabad, India",$50 - $99 / hr,"$1,000+",10 - 49
ThePlanetSoft,https://www.theplanetsoft.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"Surat, India",$50 - $99 / hr,"$5,000+",50 - 249
SoluteLabs,https://www.solutelabs.com/?utm_source=clutch&utm_medium=referral&utm_campaign=directory,"Ahmedabad, India",$25 - $49 / hr,"$10,000+",50 - 249
ShubhiTech Private Limited,https://www.shubhitech.com?utm_source=clutch.co&utm_medium=referral&utm_campaign=it-services-india,"Gurugram, India",$100 - $149 / hr,"$1,000+",10 - 49
